COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,CONTRACT_NAME
67006100001,COMPOUND PIPE JOINT SCREW PIPE 1/2 PT CAN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at gbsc
67033175018,NIPPLE BRASS 2 X 5 IN,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE________,material needed at awgbsc
67033195004,COUPLING BRASS COMP GJ X COMP GJ 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,couplings for Webberville warehouse
67039110002,COUPLING PVC SCHED 40 3/4 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  2/18/2019,MSC material for AWWBSC
65933780022,"COUPLING, PVC, SCHED- 40, EXPANDABLE REPAIR 3/4 INCH",RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  6/21/2019,Grainger material for AWWBSC
67033110002,BUSHING BRASS FOR 3/4 IN WATER METER TO 1 IN SIZE,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 12/20/19,cm material for awgbsc
67033175016,NIPPLE BRASS 1-1/2 X 8 IN,RC LN________QTY DEL_______P/F______B/O_____DEL DATE________,material needed at awgbsc
65933790001,COUPLING PVC SCH40 COMPRESSION 1/2 INCH,RC LN___ QTY DEL___ P/F___ B/O___ DEL DATE________,material needed at awwbsc
67033165001,NIPPLE BRASS 1/2 IN X CLOSE,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE__________,material needed at awgbsc
67033195005,COUPLING BRASS COMP GJ X COMP GJ 2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 3/15/21,cm material for awwbsc
67052,Pipe Repair Clamps and Couplings,Catalog # L580-212-3215,Parts for Warehouse Stock
67033175006,NIPPLE BRASS 1 X 3 IN,RC LN______QTY DEL______P/F_____B/O____DEL DATE___________,material needed at wbsc
2102922,"PIPE, CORRUGATED GALVANIZED METAL, ROUND",,pipe for irrigation unit
67033165003,NIPPLE BRASS 1 IN X CLOSE,RC LN_____ QTY DEL____ P/F_____ B/O____ DEL DATE________,material needed at awgbsc
44572110007,TOOLS SHUTOFF COPPER & PLASTIC PIPE 1/2IN-2IN,38L095,Grainger material for AWWBSC
67033195002,COUPLING BRASS COMP GJ X COMP GJ 1 IN,RC LN____ QTY DEL___ P/F____ B/O____ DEL DATE________,material needed at awgbsc
65933141001,COUPLING BRASS 1IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 4/26/21,cm material for awwbsc
89050140003,"TEE, SADDLE TAP PVC W/STAINLESS BAND O-RING 12X6",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material for Webberville Storeroom
67039110011,COUPLING PVC SCHED 40 1-1/2 IN,RC LN____ QTY DEL____ P/F____ B/O____ DEL DATE________,MATERIAL NEEDED AT AGBSC
67033160009,COUPLING BRASS 2-1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 9/21/2018,Texas Irrigation material for AWWBSC
67033195001,COUPLING BRASS COMP GJ X COMP GJ 3/4 IN,RC LN_______QTY DEL______P/F____B/O____DEL DATE_________,material needed at awgbsc
67044105007,NIPPLE GALV IRON 3/8 X 3 IN,RC LN___ QTY DEL___ P/F___ B/O_____ DEL DATE_______,material needed at awbsc
89050170016,ADAPTER PVC 4 IN CI X 4 IN CI,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN 11/27/2018,CM material for AWWBSC
67039110014,COUPLING PVC SCHED 40 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,MATERIAL NEEDED AT AWWBSC
65933141003,COUPLING BRASS 1 1/2IN. MIP X COMPRESSION GRIP JOINT,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE_____,material needed at wwbsc
67033200001,COUPLING BRASS MIP X COMPRESSION GJ 3/4IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____,HD Supply material for Glen Bell  warehouse
67033175025,NIPPLE BRASS 1/4 X 5 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE__________,material for Webberville Store
67033160004,COUPLING BRASS 1-1/4 IN,RC LN_____QTY DEL______P/F____B/O____DEL DATE________,material needed at awgbsc
89049230011,BEND CI MECH JT 22-1/2 DEG 8 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN 1/11/2019,CM material for AWWBSC
65900,PIPE AND TUBING FITTINGS,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 8/3/21    67033200003 - Qty 40 @$22.98ea = $919.20,cm material for awgbsc
67033165002,NIPPLE BRASS 3/4 IN X CLOSE,RC LN___ QTY. DEL____ P/F____ B/O____ DEL DATE_________,material needed at awgbsc
54523,"Impact Tools, Air Powered (Not Road Building)","ProPress Cap 1""",Copper Pipe Fittings
67033175003,NIPPLE BRASS 3/4 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at wbsc
2102922,"PIPE, CORRUGATED GALVANIZED METAL, ROUND",,PIPE AND TEES
65900,PIPE AND TUBING FITTINGS,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 7/22/21    67070109002 - Qty 5 @$37.89ea = $189.45,cm material for awgbsc
67033195003,COUPLING BRASS COMP GJ X COMP GJ 1 1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 9/18/18,CM material for awgbsc
67033175013,NIPPLE BRASS 1-1/2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Brass order for Webberville warehouse
67033195004,COUPLING BRASS COMP GJ X COMP GJ 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 8/30/18,CM material for AWWBSC
67052110005,COUPLING HI-PRESSURE STL MALE 37 DEG 1 IN,PARKER HANNIFIN# 10358-16-16,NONSTOCK MATERIAL REQUESTED BY COLLECTION SYSTEMS - DRACE W.
67033175004,NIPPLE BRASS 3/4 X 5 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 7/2/2018,TX Irrigation material for AWGBSC
65944901007,PIPE JOINT RESTRAINT FOR D.I. PIPE MJ GLANDS 16 INCH,RC LN_____ QTY DEL_______ P/F_____ B/O_____DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 4/5/19,Ferguson material for AWWBSC
606090,"HOSE FITTINGS, BRASS AND/OR COPPER",RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 6/18/21    67033175004 - Qty 20 @$3.30ea = $66,techline brass material for awgbsc
67033175013,NIPPLE BRASS 1-1/2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 6/3/2019,fortiline material for awgbsc
65933142002,COUPLING BRASS 1-1/2 FEMALE C.T. X COMPRESSION G.J..,C LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 6/8/2018,CM material for AWWBSC
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  5/28/2019,Texas Irrigation material for AWWBSC
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN___ QTY DEL____ P/F___ B/O____ DEL DATE_______,material needed at awbsc
67033175013,NIPPLE BRASS 1-1/2 X 3 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  1/27/2020,Fortiline material for AWWBSC
67033195002,COUPLING BRASS COMP GJ X COMP GJ 1 IN,RC LN___ QTY DEL___ P/F____ B/O___ DEL DATE______,material needed at awgbsc
67033195004,COUPLING BRASS COP TO COP STYLE C 1-1/4 IN,RC LN___ QTY DEL___ P/F____ B/O___ DEL DATE______,material needed at awgbsc
67033175017,NIPPLE BRASS 2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material needed at awwbsc
67033175012,NIPPLE BRASS 1-1/4 X 8 IN,RC LN____ QTY DEL___P/F_____ B/O____DEL DATE_____,material needed at gbsc
67052125010,COUPLING STL REPAIR DBL BAND FC CLAMPS 6X6.90X12-1/2 IN,,Couplings for GB Warehouse
65933141001,COUPLING BRASS 1IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 9/24/18,CM material for awgbsc
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN_____ QTY DEL_____ P/F_____ B/O____ DEL DATE__________,material needed at awwbsc
83272100001,TAPE SEALANT TEFLON 1/2 IN X 36 YDS,RC LN___ QTY DEL___ P/F____ B/O____ DEL DATE_________,material needed at awgbsc
83224100001,TAPE DUCT 2 IN. X 60 YDS.,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE______,meterial needed at awgbsc
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","Quickslide Nylon,Male, 16-14,.250"" tab/100 pack  Mfr: Wireless Solutions Mfr P/N: BMN-H",TESSCO 2283.37 SEE ATTACHED
83272100001,TAPE SEALANT TEFLON 1/2 IN X 36 YDS,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 1/26/2018,Grainger material for Glen Bell warehouse
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","332096  3/4"" Electrical Tape GREEN",TESSCO $593.08  SEE ATTACHED
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","Tessco 77778 4"" blacl cable ties pk/100",TESSCO $739.10  SEE ATTACHED
3778,"Souvenirs: Promotional, Advertising, etc.","White Plastic 9.5"" x 14"" Plastic Logo Bags with Badge & lettering in blue.  Ref: email quote dated 4/26//11.",Logo Bags - Promotional Item
8321024,"TAPE, BARRICADE, SAFETY",6N780 - TAPE WARNING BLACK/YELLOW STRIPED    RC LN______ QTY DEL______ P/F_____ B/O______ DEL DATE___________,material needed at wbsc
83210200001,BARRIER TAPE YELLOW CAUTION 3 INCH X 1000 FT. 2 MIL,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Non updated Grainger material for Webberville
83240130001,TAPE ELECTREIC 3/4 IN X 66 FT ALL WEATHER,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,MATERIAL NEEDED AT WBSC
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","359368  Quickslide NylonFemale 22-18.250"""" tab/100 pack",TESSCO INSTALL SUPPLIES
67006180001,TAPE CORROSION PROTECTION 10 MIL. 2 INCH X 100FT.,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE________,material needed at awgbsc
377800,"Souvenirs: Promotional, Advertising, etc.","250-12X15X3"" BLACK PLASTIC BAGS WITH DIE CUT HANDLE AND SILVER IMPRINT ON ONE SIDE.  IMPRINT:  APD BADGE.  SET-UP AND SHIPPING INCLUDED PER YOUR EMAIL QUOTE DATED 04/19/13.",PROMOTIONAL ITEMS FOR TRAINING ACADEMY
83252,"Tape, Masking",,"Tape, Orange, 1""W X60yd Masking  MAX PO# 3291 PR # 1679"
3952712,"LABELS, PRESSURE SENSITIVE, STOCK, ALL LABELS ARE",RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE____________,MATERIAL NEEDED AT WEBBERVILLE STOREROOM
83252,"Tape, Masking",,Orange Masking Tape # 62473079  MAX PO# 2929 PR # 1467
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","Split loom, automotive grade, 1/4""  diam./100'","TESSCO  $3,906.38    SEE ATTACHED"
83224100001,TAPE DUCT 2 IN X 60 YDS,RC LN___ QTY DEL____ P/F____ B/O_____ DEL DATE_______,material needed at awgbsc
83252101002,TAPE MASKING 1-1/2 IN X 60 YDS,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Grainger KeepStock scan 6/14 for Webberville
67006180001,TAPE CORROSION PROTECTION 10 MIL. 2 INCH X 100FT.,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE____________,MATERIAL NEEDED AT AWWBSC
67063,Service Boxes and Parts,,Purchase of Gun Lock Boxes (Trunk Vaults) SC5
8015,"Badges and Emblems, Metal: Cap, Game Wardens', Off",15 Year Service Pins,"Service pin order for 5, 10, 15, 20, and 35 years of service"
67033125004,PLUG BRASS 3/4 IN,RC LN___ QTY DEL___ P/F___ B/O___ DEL DATE________,material needed at awgbsc
8055,"Nameplates, Plastic","10 metal silver name tags - 1 line - last name only with all letters in capitals, $3.50 each",metal silver name plates
34508390002,HARNESS ALUM BACK SHOULDER D-RING QUICK CONNECT BUCKLE LARGE,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Materials needed at Webberville warehouse
8050,"Nameplates, Metal, Adhesive Back",Silver Metal Desk Holder,Nameplates and holders
56056750002,"STRAP RATCHET, S HOOK, STRAP WIDTH 1 IN, POLYESTER WEBBING",RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____,MSC material for Glen Bell warehouse
55078,"Traffic Cones, Lane Markers, and Barricades (Porta","RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 1/24/22    55078100001 - Qty 675 @$18.16ea = $12,258.00  Please deliver all 3 pallets to Glen Bell",Wenzel traffic cones for both storerooms
2851985,"TUBING, HEAT SHRINK",,"Heat Shrink & Wire Labels & Loom, Ullrich, Kowalczyk"
67033125006,PLUG BRASS 1 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at wbsc
8055,"Nameplates, Plastic","3/4""x12"" name plate  1 - black with white text",Name plates and holders
3778,"Souvenirs: Promotional, Advertising, etc.","Magnets:  2,500 Flood Magnets @ $.49 ea.","Bumper stickers, magnets & wristbands for PIO."
68008,Police Protection Equipment (Body Armor and Riot S,"160 each, PEERLESS MODEL 700 CHAIN HANDCUFFS  Item# RS001C, MFG#700, @ $24.67 each    Equipment for the 137th & 138th APD Cadet Classes",Equipment for the 137th & 138th APD Cadet Classes
5507818,"BARRICADES, TRAFFIC, PORTABLE","Barricades, Type III, 8'x8""x1"", Plastic  Panels, Reflective Sheeting Orange/White Hi Intensity on both sides, Metal Welded feet",Type III Barricades
8055,"Nameplates, Plastic","metal desk holder, 7 ordered @ $3.50 each",APD Office Name Plate Order
67033125011,PLUG BRASS 2 IN,RC LN___ QTY DEL___ P/F___ B/O___ DEL DATE________,material needed at awgbsc
28514,"Circuit Breakers, Load Centers, Boxes, and Panelbo","4-Hole 90 Deg Vinylester Angle Bracket, Champion #CS405V 15@13.28",CLAMPS/WASHER/NUTS/BOLTS
54523,"Impact Tools, Air Powered (Not Road Building)","QTY: 1 - PN: 10A977 - Linemans Plier: Flat, 8 7/8 in Overall Lg, 1 1/2 in Jaw Lg, 1 1/8 in Jaw Wd, 5/8 in Jaw Thick",GRAINGER - ULLRICH - TOOLS/EQUIPMENT - SEP2023
54523,"Impact Tools, Air Powered (Not Road Building)",,"Lowe's/Concrete/mason tools, hammers, chisel bits"
54523,"Impact Tools, Air Powered (Not Road Building)",,Remote Viewable Mobile DVR w/ WiFi & a Spectra IV SE 29X PTZ
54523,"Impact Tools, Air Powered (Not Road Building)",,"Grainger/Spec Proj/safety gear, small tools"
5452445,"HAMMER, ROTARY","Bosch 7/8"" Rotary Hammer - North District",Lowes/Lawrence Alvarez
54523,"Impact Tools, Air Powered (Not Road Building)","QTY: 1 - PN: 406K62 - Jobber Drill Bit Set: 1/16 in Smallest Drill Bit Size, 1/2 in Largest Drill Bit Size, 4xD",GRAINGER - ULLRICH - TOOLS/EQUIPMENT - SEP2023
54523,"Impact Tools, Air Powered (Not Road Building)",,GRAINGER/PAINT/BRIDGE MAINT/EGBERT
54523,"Impact Tools, Air Powered (Not Road Building)","ProPress Coupling w/stop 1"" x 1""  Qty:2@$10.40",Copper Pipe Fittings
54523,"Impact Tools, Air Powered (Not Road Building)","RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 3/9/22    32043221002 - Qty 2,000 @$0.61ea = $1,220.00",fastenal material for awwbsc
54523,"Impact Tools, Air Powered (Not Road Building)",4ea @ $78.36   F35IG Filter Element,Ingersoll Rand Compressor & Hankinson Air Dryer Parts
44564100001,SCREWDRIVER 6 IN X 5/16 IN STANDARD,RC LN___ QTY DEL___ P/F____ B/O____ DEL DATE_____,material needed at awbsc
44500,"HAND TOOLS (POWERED AND NON-POWERED), ACCESSORIES","Power Unit, 13 hp 2000 psi - qty 4, Unit Price $5,000 each  Submersible Trash Pump, Qty 5, Unit Price $1,737.15 each  Double House Assembly, Qty 1, Unit Price $186.14 each",Per M. Chambers - Granger Quote# 2025570119
54523,"Impact Tools, Air Powered (Not Road Building)",,"Lowe's/Overlay/clamps, screws, lumber, pipe cap fittings"
44572112002,"SET NUT DRIVER 3/16"" - 1/2""",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE__________,MATERIAL NEEDED AT WBSC
54523,"Impact Tools, Air Powered (Not Road Building)",Paper good products; Buyer: Laura Wright,Paper Products
54523,"Impact Tools, Air Powered (Not Road Building)",,Grainger/SCII/measuring wheel and paint marker
54523,"Impact Tools, Air Powered (Not Road Building)","RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 12/3/21    32020982002 - Qty 500 @$3.90ea = $1,950.00",fastenal material for awwbsc
54523,"Impact Tools, Air Powered (Not Road Building)","QTY (1) PART#8512285    Adj. Barrel Mount Sleeve,Silver: Adj Barrel Clamp Base Mount, Clamp-On, Barrel",ULLRICH - AJD. BARREL MNT SLEEVE/CLAMP ON -AUG.2022
54523,"Impact Tools, Air Powered (Not Road Building)",qty 6 @ 27.53 3EB10 Extension Cord 50ft 12 gauge,Various Tools/Signs
54523,"Impact Tools, Air Powered (Not Road Building)",Industrial Supplies  REX_ ZA2315F-ND P BLK ND BRG 4BLTH,SS Cotter Chain & Sprockets for SAR
54523,"Impact Tools, Air Powered (Not Road Building)","QTY: 1 - PN: 25XD20 - Strap Wrench: For 12 in Outside Dia, 18 in Handle Lg, 1 3/4 in Strap Wd, 48 in Strap Lg",GRAINGER - ULLRICH - TOOLS/EQUIPMENT - SEP2023
5450954,"PARTS, CHAIN SAW (MISC.)",,TravisTractor/Central/lawn equipment
54523,"Impact Tools, Air Powered (Not Road Building)",qty 36 @ 6.65 ea Spray paint Silver Aluminum  #2FP61,Various Tools/Signs and Markings
54523,"Impact Tools, Air Powered (Not Road Building)",,BSD Purchases - 04/18/13 to 05/01/13
