Ingredient,impact_factor_final,impact_factor_name_final,impact_value_final,impact_unit_final,ref_amount_final,ref_unit_final
lean chicken,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
beef top round steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
cool whip free,,,,,,
milk chocolate kiss,,,,,,
white sauce mix,,,,,,
frozen tart shell,,,,,,
cooked short-grain white rice,,,,,,
maize flmy,0d43e95e-26da-4b92-8cb1-9c3e2436ee53_5e5e458a-c9d5-4bce-80d2-3633fb8fd0c7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for maize flour,0.867786581,kg,1,kg
black raspberry,,,,,,
cashew piece,,,,,,
hot coffee,,,,,,
spinach linguine,,,,,,
pistachio ice cream,,,,,,
cashew half,,,,,,
sambal oelek,,,,,,
raspberry preserve,,,,,,
pot sticker,,,,,,
fresh portabella mushroom,,,,,,
raw potato,c4a9f9f1-435c-47d4-9842-fd053c365d69_155158d0-d566-487e-bfae-fff465d5dc52_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for potato,0.336006274,kg,1,kg
unbaked pie shell,,,,,,
maraschino cherry,,,,,,
rib,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
chinese sesame paste,,,,,,
white lily self-rising flmy,,,,,,
cut green bean,,,,,,
vanilla ice milk,,,,,,
refrigerated flaky biscuit,,,,,,
ground chocolate,,,,,,
frozen white bread dough,,,,,,
hot salt,,,,,,
pak chous,,,,,,
spice mix,,,,,,
hawaiian punch drink,,,,,,
firm peach,e25df519-84fa-4e04-b4d6-e53a51ad749e_30df3cb7-d389-4007-a172-ad89e98c3270_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for peach,0.449046846,kg,1,kg
vanilla greek yogurt,,,,,,
swirled holiday morsel,,,,,,
purple basil,,,,,,
vanilla sugar,,,,,,
diet pepsi,,,,,,
raw mushroom,,,,,,
lemon frosting,,,,,,
cupcake,,,,,,
soy lecithin,,,,,,
macadamia half,,,,,,
trail mix,,,,,,
roasted almond,,,,,,
filet mignon steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
carob powder,,,,,,
hardboiled egg,,,,,,
stewed tomato,,,,,,
curry sauce,,,,,,
ahi tuna steak,,,,,,
chow mein noodle,,,,,,
tiger sauce,,,,,,
canned beet,,,,,,
guinness stout,,,,,,
dry ice,,,,,,
sweet onion,ec3da8f3-f6fd-4421-b153-ae40f27b5188_1945897f-c0a2-4dbf-8397-9fd93e6a9445_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for onion,0.323529993,kg,1,kg
light peach yogurt,,,,,,
stewing lamb,,,,,,
mixed seed,,,,,,
au jus sauce,,,,,,
sourdough starter,,,,,,
cooked turkey,,,,,,
red chili seed,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
tiger shrimp,,,,,,
light monterey jack cheese,,,,,,
lime peel,8ce0855c-73a9-4474-8612-9ce0bfae1457_a00b7e35-1bc7-4b73-9df8-05f3dd07ffdb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lime,0.024549857,kg,1,kg
banana extract,,,,,,
orange gelatin,,,,,,
tapioca starch,,,,,,
coconut pudding mix,,,,,,
canned spinach,,,,,,
soya milk,dab649af-3a9d-41f3-b120-0884a3bf4e0f_5ee7638a-fd4c-4290-a7eb-8fb7821d891e_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for soybean beverage,0.347871592,kg,1,l
powdered nondairy creamer,,,,,,
stella doro anginetti cookies,,,,,,
dried mission fig,,,,,,
old fashioned oat,18a75664-a503-4b99-87be-e11557cb81f1_396098c0-2dd0-4987-84e3-cd12a3b521b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for oat grain,0.726827058,kg,1,kg
guinness draught,,,,,,
red snapper,3a41b03d-215c-4b05-b63c-e6ed052e8fdf_cdbf0bef-39f7-46c8-87a2-3f9f679b5bb7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for demersal fish, fresh",2.115661706,kg,1,kg
anisette,,,,,,
candied citron peel,,,,,,
instant butter pecan pudding mix,,,,,,
short rib of beef,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
roasted cashew,,,,,,
whole wheat rotini,,,,,,
tasty cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
vanilla coffee syrup,,,,,,
turkey bone,e4c435a2-1b31-48dd-8f06-65a0042dc30f_9e36204d-dec9-4fb1-98d6-d84febd5df2c_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for meat and bone meal,0.003887678,kg,1,kg
rosemary,,,,,,
round rice paper sheet,,,,,,
vanilla essence,6dbe6cff-ce81-4f84-9316-89475c0e0659_43fdfa7d-a9ad-4919-8368-e82a9142101b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for vanilla,13.44575158,kg,1,kg
rice wine vinegar,,,,,,
red currant jelly,,,,,,
parsnip,,,,,,
corn beef hash,,,,,,
vegetable juice,,,,,,
instant minced garlic,,,,,,
chicken stove top stuffing mix,,,,,,
picante salsa,,,,,,
mocha instant coffee,,,,,,
honey roasted turkey breast,,,,,,
gelatin powder,,,,,,
deep fat,,,,,,
grain cereal,,,,,,
baby spinach leaf,83a42235-1028-4d5c-8819-4ef04fa10b26_a47ddfcf-af07-4c1a-9914-1e30c941cd19_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for spinach,0.22631143,kg,1,kg
gemelli pastum,,,,,,
quick curing salt,6c34933e-aeb2-4360-a8ea-13bd85e9d0cb_93015ba0-863d-4535-be49-8a1b16b71782_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for salt,0.042563983,kg,1,kg
raspberry sorbet,,,,,,
flat leaf parsley,,,,,,
wattleseed,,,,,,
lean pork loin,94630534-5fdd-4ab5-b65d-9fad003636d1_b458d873-946b-468f-b6bf-cdfdf6e0164f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for swine for slaughtering, live weight",8.271383352,kg,1,kg
sweet red pepper,65fcd3cc-40ef-4833-8f3a-489d49f37f26_98813ba1-c1a0-469d-99e0-6f2d8453c47d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for bell pepper,2.220600128,kg,1,kg
arrack liqueur,,,,,,
chipotle mustard,,,,,,
fresh cilantro stem,f4308d96-2bdf-4b0a-8196-7c171c5ebaaf_22cdbdf8-05c7-4410-9eff-7b12ff1877b3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for coriander,0.205071438,kg,1,kg
dried navy bean,,,,,,
k cereal,,,,,,
frozen peppers and onion,,,,,,
date syrup,,,,,,
orange slouse,,,,,,
french fried onion ring,,,,,,
onion powder,,,,,,
butter-nuting,,,,,,
pork rind,,,,,,
peppermint syrup,,,,,,
dark soya sauce,,,,,,
celery powder,,,,,,
light hamburger bun,,,,,,
unsifted flmy,,,,,,
stone-ground white cornmeal,,,,,,
bruschettum,,,,,,
sour orange juice,,,,,,
chicken base,,,,,,
fresh rose petal,,,,,,
beefy mushroom soup,,,,,,
saltine,,,,,,
crisp bacon,,,,,,
chicken noodle soup mix,,,,,,
soft white bread cube,,,,,,
red maraschino cherry,,,,,,
whey protein powder,71123d00-98ef-4ced-bb69-3e0243063608_714ddb02-26ff-4e89-9648-a83aba628628_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for whey,0.135610143,kg,1,kg
baby lima bean,,,,,,
ice water,,,,,,
glace ginger,,,,,,
chocolate bar,,,,,,
lemonade,,,,,,
canned black bean,,,,,,
tom kha paste,,,,,,
light cottage cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
chicken quarter,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
cake decorating gel,,,,,,
orange sherbet,,,,,,
sucanat,,,,,,
ears of corn,d28caba3-32e4-4896-8cef-38a45a6adb99_d86548c8-a433-44a0-91ba-073c2227b627_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sweet corn,0.276942777,kg,1,kg
whole duck,,,,,,
dungeness crabmeat,,,,,,
diced onion,,,,,,
dried chipotle powder,,,,,,
tortellini,,,,,,
apricot puree,,,,,,
praline sauce,,,,,,
fine breadcrumb,a5fc7f30-04ba-49c7-a292-394a21989a5c_dca5d4c8-0e53-4f11-9df5-418e30a0e49f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for breadcrumbs,1.100980617,kg,1,kg
lean stewing beef,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
beef chuck shoulder pot roast,,,,,,
cabernet sauvignon wine,,,,,,
white vermouth,,,,,,
french bean,,,,,,
wine,,,,,,
vanilla cupcake,,,,,,
whole grain sandwich roll,,,,,,
mint creme-filled chocolate sandwich cookies,,,,,,
coriander leaf,f4308d96-2bdf-4b0a-8196-7c171c5ebaaf_22cdbdf8-05c7-4410-9eff-7b12ff1877b3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for coriander,0.205071438,kg,1,kg
radish sprout,,,,,,
calimyrna fig,,,,,,
turkey gravy mix,,,,,,
oatmeal cookie mix,,,,,,
chicken soup,,,,,,
amarula cream liqueur,,,,,,
blueberry juice,,,,,,
butter cracker crumb,,,,,,
small squid,,,,,,
unsweetened dark chocolate,,,,,,
light cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
wheat flmy,f093980d-8055-4013-820c-54c63111d693_0201ee86-f71b-4457-8fe8-79f3ed720b07_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for wheat grain,0.600495961,kg,1,kg
granny smith apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
deli chicken,,,,,,
erythritol,,,,,,
almond butter,,,,,,
onion soup base,,,,,,
fruit cocktail,,,,,,
zatarain's jambalaya mix,,,,,,
light raisin,,,,,,
purple bell pepper,65fcd3cc-40ef-4833-8f3a-489d49f37f26_98813ba1-c1a0-469d-99e0-6f2d8453c47d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for bell pepper,2.220600128,kg,1,kg
wheat flake,,,,,,
tofu crumble,,,,,,
coconut butter,,,,,,
condensed cream of asparagus soup,,,,,,
fresh jalapeno pepper,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
split chickpea,,,,,,
baby eggplant,,,,,,
beef stew meat,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
mandarin orange juice,,,,,,
boca meatless ground burger,,,,,,
rack of lamb,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
bok choy,,,,,,
soft cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
mandarin orange liquid,,,,,,
strawberry banana gelatin,,,,,,
rice vinegar,,,,,,
powdered fruit pectin,,,,,,
raw cranberry,,,,,,
crispy brown rice cereal,,,,,,
phyllo pastry sheet,,,,,,
quorn piece,,,,,,
gummy fish,,,,,,
dark chocolate confectionary coating,,,,,,
butternut squash,,,,,,
pear liqueur,,,,,,
cheddar,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
roasted sesame seed,,,,,,
ground red pepper,,,,,,
tangerine zest,,,,,,
supreme brownie mix,,,,,,
spelt,,,,,,
chocolate-covered mint candy,,,,,,
tea bag,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
ruby port,,,,,,
frozen pearl onion,,,,,,
peameal bacon,,,,,,
turkey chili,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
green sugar crystal,,,,,,
dried fennel seed,,,,,,
chinese rice wine,,,,,,
homogenized milk,f67df283-c41e-4691-8461-16e141d0f29f_a3ee1ec6-ce17-430e-a475-f98f1b2890d2_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for cow milk,1.630003833,kg,1,kg
cooked turkey bacon,,,,,,
cheese soup,,,,,,
tomato,b72d9580-130e-4d3b-9392-ec67c00f4b35_34967617-78b9-4120-9fbc-b8bf2d3c115b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, fresh grade",0.519773113,kg,1,kg
fish curry powder,,,,,,
breast of turkey,,,,,,
sweet white wine,,,,,,
's baking chocolate,,,,,,
all-bran cereal,,,,,,
sour cream and onion potato chip,,,,,,
pierogi,,,,,,
pizza topping,,,,,,
blackberry yogurt,,,,,,
turkey chop,,,,,,
garlic bread,,,,,,
cardamom powder,,,,,,
liquid honey,,,,,,
green tea bag,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
dark corn syrup,,,,,,
shredded wheat cereal,,,,,,
refrigerated crusty french loaf,,,,,,
stock cube,,,,,,
truffle butter,,,,,,
blackberry,,,,,,
white-fleshed fish,3a41b03d-215c-4b05-b63c-e6ed052e8fdf_cdbf0bef-39f7-46c8-87a2-3f9f679b5bb7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for demersal fish, fresh",2.115661706,kg,1,kg
cherry pie filling,,,,,,
turkey stuffing,,,,,,
saffron thread,,,,,,
natural cane sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
sirloin steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
vegetarian oyster sauce,,,,,,
"orange, zest of",,,,,,
speck,,,,,,
mutton,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
ham dripping,,,,,,
lean ground chuck,,,,,,
fresh chestnut,,,,,,
russet potato,c4a9f9f1-435c-47d4-9842-fd053c365d69_155158d0-d566-487e-bfae-fff465d5dc52_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for potato,0.336006274,kg,1,kg
cheese sauce mix,,,,,,
frosting,,,,,,
distilled white vinegar,,,,,,
"blood orange, juice of",,,,,,
smoked trout fillet,,,,,,
turkey broth,,,,,,
dessert pear,,,,,,
orange spice tea bag,,,,,,
eel,,,,,,
whole trout,2609af2f-696e-4670-9b27-602bc3144fde_8349c9d1-7a60-46f6-98d8-ec0f48ae5310_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for trout,2.405581457,kg,1,kg
garlic flake,,,,,,
piquillo pepper,,,,,,
cantal cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
rome apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
demi-glace,,,,,,
chocolate whey protein powder,,,,,,
parsley,,,,,,
san marzano tomato,d5755bcc-4d60-42d3-ab28-35e852627be3_03cc9df9-29e5-4ee0-8bff-a70999caffbf_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, processing grade",0.237464718,kg,1,kg
buckwheat noodle,,,,,,
cool whip topping,564e1504-faaa-4ffb-a823-3351653311dc_e205cf62-396d-488a-8e2f-71344bbee1aa_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cream, from cow milk",2.52819913,kg,1,kg
assorted fresh vegetable,,,,,,
garbanzo bean,,,,,,
evaporated skim milk,5ff3fb28-4350-4a37-9f1d-781c8c92a6f2_78b3da46-af34-4517-a952-cb828f76e1c2_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for evaporation of milk,0.020063374,kg,1,kg
almond toffee bit,,,,,,
tripe,,,,,,
coffee yogurt,,,,,,
honey graham cracker,,,,,,
pawpaw,95717046-a131-49b3-b14b-b938653461dc_7f758dea-2473-4400-a8ed-349bc95e2deb_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for papaya,0.272742405,kg,1,kg
tequila,,,,,,
plain bar,,,,,,
besan,,,,,,
grilled chicken,,,,,,
yoshida sauce,,,,,,
refrigerated white chocolate chip macadamia nut cookie dough,,,,,,
turkey breast cutlet,,,,,,
chili-garlic sauce,,,,,,
star anise,,,,,,
pineapple slices in syrup,,,,,,
ature dark chocolate chip,,,,,,
head of garlic,,,,,,
lightly sweetened whipped cream,,,,,,
pomegranate juice,,,,,,
date sugar,,,,,,
garlic and cheese crouton,,,,,,
paprika paste,,,,,,
apple,05ea603a-801e-4a21-bff6-30472d63b1a1_1c819f15-1202-4fa9-8ef9-72196c2dfb85_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for apple,0.319430888,kg,1,kg
gruyere cheese,,,,,,
marlin steak,,,,,,
pisco,,,,,,
instant pistachio pudding mix,,,,,,
strong coffee,ac979b92-94ef-4228-a6dd-b4f03f563261_42193bba-bf84-4490-8c69-b6e23048e73d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for coffee, green bean",7.107818888,kg,1,kg
evaporated cane juice,,,,,,
