COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,CONTRACT_NAME,naics_code_final,comment,submission_time,naics_title_final,co2e_per_dollar_final,bea_code_final
67039110016,COUPLING PVC SCHED 40 1/2 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________,MSC material for AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67039105003,ADAPTER PVC SCHED 40 3/4 IN PVC TO 3/4 IN FIPT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 10/15/2018,MSC material for AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033165002,NIPPLE BRASS 3/4 IN X CLOSE,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________  .  .  DELIVERY DATE SHALL BE NO LATER THAN 3/18/2020,Texas Irrigation material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67006100001,COMPOUND PIPE JOINT SCREW PIPE 1/2 PT CAN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at gbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175018,NIPPLE BRASS 2 X 5 IN,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195004,COUPLING BRASS COMP GJ X COMP GJ 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,couplings for Webberville warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67039110002,COUPLING PVC SCHED 40 3/4 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  2/18/2019,MSC material for AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
65933780022,"COUPLING, PVC, SCHED- 40, EXPANDABLE REPAIR 3/4 INCH",RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  6/21/2019,Grainger material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033110002,BUSHING BRASS FOR 3/4 IN WATER METER TO 1 IN SIZE,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 12/20/19,cm material for awgbsc,333613,,9/25/24,Mechanical Power Transmission Equipment Manufacturing,0.251,333613
67033175016,NIPPLE BRASS 1-1/2 X 8 IN,RC LN________QTY DEL_______P/F______B/O_____DEL DATE________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933790001,COUPLING PVC SCH40 COMPRESSION 1/2 INCH,RC LN___ QTY DEL___ P/F___ B/O___ DEL DATE________,material needed at awwbsc,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033165001,NIPPLE BRASS 1/2 IN X CLOSE,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE__________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195005,COUPLING BRASS COMP GJ X COMP GJ 2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 3/15/21,cm material for awwbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67052,Pipe Repair Clamps and Couplings,Catalog # L580-212-3215,Parts for Warehouse Stock,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175006,NIPPLE BRASS 1 X 3 IN,RC LN______QTY DEL______P/F_____B/O____DEL DATE___________,material needed at wbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
2102922,"PIPE, CORRUGATED GALVANIZED METAL, ROUND",,pipe for irrigation unit,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033165003,NIPPLE BRASS 1 IN X CLOSE,RC LN_____ QTY DEL____ P/F_____ B/O____ DEL DATE________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
44572110007,TOOLS SHUTOFF COPPER & PLASTIC PIPE 1/2IN-2IN,38L095,Grainger material for AWWBSC,332919,,9/26/24,Other Metal Valve and Pipe Fitting Manufacturing,0.24,33291A
67033195002,COUPLING BRASS COMP GJ X COMP GJ 1 IN,RC LN____ QTY DEL___ P/F____ B/O____ DEL DATE________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933141001,COUPLING BRASS 1IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 4/26/21,cm material for awwbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89050140003,"TEE, SADDLE TAP PVC W/STAINLESS BAND O-RING 12X6",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material for Webberville Storeroom,326122,,9/26/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67039110011,COUPLING PVC SCHED 40 1-1/2 IN,RC LN____ QTY DEL____ P/F____ B/O____ DEL DATE________,MATERIAL NEEDED AT AGBSC,326122,,9/26/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033160009,COUPLING BRASS 2-1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 9/21/2018,Texas Irrigation material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195001,COUPLING BRASS COMP GJ X COMP GJ 3/4 IN,RC LN_______QTY DEL______P/F____B/O____DEL DATE_________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67044105007,NIPPLE GALV IRON 3/8 X 3 IN,RC LN___ QTY DEL___ P/F___ B/O_____ DEL DATE_______,material needed at awbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89050170016,ADAPTER PVC 4 IN CI X 4 IN CI,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN 11/27/2018,CM material for AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67039110014,COUPLING PVC SCHED 40 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,MATERIAL NEEDED AT AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
65933141003,COUPLING BRASS 1 1/2IN. MIP X COMPRESSION GRIP JOINT,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE_____,material needed at wwbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033200001,COUPLING BRASS MIP X COMPRESSION GJ 3/4IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____,HD Supply material for Glen Bell  warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175025,NIPPLE BRASS 1/4 X 5 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE__________,material for Webberville Store,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033160004,COUPLING BRASS 1-1/4 IN,RC LN_____QTY DEL______P/F____B/O____DEL DATE________,material needed at awgbsc,332996,,9/26/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89049230011,BEND CI MECH JT 22-1/2 DEG 8 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN 1/11/2019,CM material for AWWBSC,331511,,9/25/24,Iron Foundries,0.446,331510
65900,PIPE AND TUBING FITTINGS,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 8/3/21    67033200003 - Qty 40 @$22.98ea = $919.20,cm material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033165002,NIPPLE BRASS 3/4 IN X CLOSE,RC LN___ QTY. DEL____ P/F____ B/O____ DEL DATE_________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
54523,"Impact Tools, Air Powered (Not Road Building)","ProPress Cap 1""",Copper Pipe Fittings,333991,,9/25/24,Power-Driven Handtool Manufacturing,0.165,333991
67033175003,NIPPLE BRASS 3/4 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at wbsc,332996,,9/26/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
2102922,"PIPE, CORRUGATED GALVANIZED METAL, ROUND",,PIPE AND TEES,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65900,PIPE AND TUBING FITTINGS,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 7/22/21    67070109002 - Qty 5 @$37.89ea = $189.45,cm material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195003,COUPLING BRASS COMP GJ X COMP GJ 1 1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 9/18/18,CM material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175013,NIPPLE BRASS 1-1/2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Brass order for Webberville warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195004,COUPLING BRASS COMP GJ X COMP GJ 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 8/30/18,CM material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67052110005,COUPLING HI-PRESSURE STL MALE 37 DEG 1 IN,PARKER HANNIFIN# 10358-16-16,NONSTOCK MATERIAL REQUESTED BY COLLECTION SYSTEMS - DRACE W.,332919,,9/25/24,Other Metal Valve and Pipe Fitting Manufacturing,0.24,33291A
67033175004,NIPPLE BRASS 3/4 X 5 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 7/2/2018,TX Irrigation material for AWGBSC,-2,,9/26/24,,,
65944901007,PIPE JOINT RESTRAINT FOR D.I. PIPE MJ GLANDS 16 INCH,RC LN_____ QTY DEL_______ P/F_____ B/O_____DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 4/5/19,Ferguson material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
606090,"HOSE FITTINGS, BRASS AND/OR COPPER",RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 6/18/21    67033175004 - Qty 20 @$3.30ea = $66,techline brass material for awgbsc,332919,,9/25/24,Other Metal Valve and Pipe Fitting Manufacturing,0.24,33291A
67033175013,NIPPLE BRASS 1-1/2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 6/3/2019,fortiline material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933142002,COUPLING BRASS 1-1/2 FEMALE C.T. X COMPRESSION G.J..,C LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 6/8/2018,CM material for AWWBSC,332913,,9/26/24,Plumbing Fixture Fitting and Trim Manufacturing,0.193,332913
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  5/28/2019,Texas Irrigation material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN___ QTY DEL____ P/F___ B/O____ DEL DATE_______,material needed at awbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175013,NIPPLE BRASS 1-1/2 X 3 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  1/27/2020,Fortiline material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195002,COUPLING BRASS COMP GJ X COMP GJ 1 IN,RC LN___ QTY DEL___ P/F____ B/O___ DEL DATE______,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195004,COUPLING BRASS COP TO COP STYLE C 1-1/4 IN,RC LN___ QTY DEL___ P/F____ B/O___ DEL DATE______,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175017,NIPPLE BRASS 2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material needed at awwbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175012,NIPPLE BRASS 1-1/4 X 8 IN,RC LN____ QTY DEL___P/F_____ B/O____DEL DATE_____,material needed at gbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67052125010,COUPLING STL REPAIR DBL BAND FC CLAMPS 6X6.90X12-1/2 IN,,Couplings for GB Warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933141001,COUPLING BRASS 1IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 9/24/18,CM material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN_____ QTY DEL_____ P/F_____ B/O____ DEL DATE__________,material needed at awwbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
83272100001,TAPE SEALANT TEFLON 1/2 IN X 36 YDS,RC LN___ QTY DEL___ P/F____ B/O____ DEL DATE_________,material needed at awgbsc,322220,,9/25/24,Paper Bag and Coated and Treated Paper Manufacturing,0.522,322220
83224100001,TAPE DUCT 2 IN. X 60 YDS.,RC LN___ QTY DEL___ P/F___ B/O____ DEL DATE______,meterial needed at awgbsc,322220,,9/25/24,Paper Bag and Coated and Treated Paper Manufacturing,0.522,322220
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","Quickslide Nylon,Male, 16-14,.250"" tab/100 pack  Mfr: Wireless Solutions Mfr P/N: BMN-H",TESSCO 2283.37 SEE ATTACHED,322220,,9/25/24,Paper Bag and Coated and Treated Paper Manufacturing,0.522,322220
83272100001,TAPE SEALANT TEFLON 1/2 IN X 36 YDS,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 1/26/2018,Grainger material for Glen Bell warehouse,322220,,9/25/24,Paper Bag and Coated and Treated Paper Manufacturing,0.522,322220
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","332096  3/4"" Electrical Tape GREEN",TESSCO $593.08  SEE ATTACHED,322220,,9/25/24,Paper Bag and Coated and Treated Paper Manufacturing,0.522,322220
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","Tessco 77778 4"" blacl cable ties pk/100",TESSCO $739.10  SEE ATTACHED,322220,,9/25/24,Paper Bag and Coated and Treated Paper Manufacturing,0.522,322220
3778,"Souvenirs: Promotional, Advertising, etc.","White Plastic 9.5"" x 14"" Plastic Logo Bags with Badge & lettering in blue.  Ref: email quote dated 4/26//11.",Logo Bags - Promotional Item,453220,,9/25/24,"Gift, Novelty, and Souvenir Stores",0.163,4B0000
